Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S05,1,0,P012,0,P013,0.0,0.0088930203733829,-0.3110617650787959,-0.3110617650787959
S05,2,1227,P012,10942,P013,0.7499143307518333,0.020412115578278718,8.592958069630773,0.6874058219426482
S05,3,780,P012,10040,P013,0.6880954012747584,0.07964985668913159,7.858958262382735,0.3236609063773788
S05,4,1201,P012,9485,P013,0.6500582550887534,0.00476411805716941,7.407328669231227,0.6662483995607756
S05,5,1662,P012,7576,P013,0.5192241792886025,0.02880935781237896,5.853885618192973,1.0413857733316687
S05,6,2173,P012,6481,P013,0.4441779178945925,0.043520024788906944,4.9628326371102665,1.4572104978369318
S05,7,2866,P012,5438,P013,0.3726954972243163,0.06514834611511347,4.114094500791305,2.0211371790153025
S05,8,3388,P012,5353,P013,0.3668699883489822,0.00047253853900379,4.044926004542876,2.445913120682127
S05,9,3811,P012,6202,P013,0.42505654170379,0.012905724688202008,4.735797220012481,2.790128107894899
S05,10,4155,P012,6078,P013,0.4165581522856555,0.012386706948640473,4.634892590191243,3.070057080947365
S05,11,4559,P012,5663,P013,0.3881159618943184,0.0042528468510341505,4.29718757909597,3.398810874881077
S05,12,4719,P012,5414,P013,0.3710506476595161,0.02767061739871405,4.094564572438807,3.529010397231062
S05,13,4997,P012,4829,P013,0.3309574395175108,0.08576187156247578,3.618522568846676,3.75523206731416
S05,14,5380,P012,4346,P013,0.2978548420259064,0.00927260051127119,3.2254827607526595,4.066897173939435
S05,15,5274,P012,3851,P013,0.2639298197519018,0.029320629018514198,2.822677988482395,3.98063999038257
S05,16,4522,P012,3312,P013,0.2269892399424302,0.02310790921062823,2.3840683475658846,3.368702235337643
S05,17,3602,P012,3218,P013,0.220546912480296,0.014183902703540151,2.3075761281852687,2.6200549818252314
S05,18,3169,P012,3448,P013,0.2363100541429648,0.05586799907041599,2.4947379415633715,2.267702524465586
S05,19,2908,P012,3645,P013,0.2498115276540333,0.01936633356572933,2.65504610345679,2.055314553632173
S05,20,2843,P012,3822,P013,0.2619422931944349,0.01706561313812066,2.7990793250564603,2.002420997677492
S05,21,2698,P012,4172,P013,0.2859296826811048,0.00022464946936244,3.083890780197052,1.8844276805478184
S05,22,2040,P012,3793,P013,0.259954766636968,0.00193663335657293,2.775480661630525,1.348982144883507
S05,23,1439,P012,3318,P013,0.2274004523336303,0.03595940816484622,2.388950829654009,0.8599201890563777
S05,24,1182,P012,3566,P013,0.2443972311698992,0.00025563560306761997,2.590760089296485,0.650787206281715
S05,25,1257,P012,4223,P013,0.2894249880063052,0.0371833604462003,3.125391877946109,0.7118182323832702
S05,26,1230,P012,4527,P013,0.3102597491604413,0.013788829498799279,3.37277097041108,0.6898470629867104
S05,27,1380,P012,4912,P013,0.3366458775957782,0.02947555968704002,3.6860635710657306,0.8119091151898209
S05,28,1364,P012,5202,P013,0.3565211431704475,0.05945464404678904,3.922050205325077,0.7988891629548225
